date,health_reg_name,health_org_name,admissions
2020-04-30,Midt,Helse Møre og Romsdal,2
2020-05-01,Midt,Helse Møre og Romsdal,1
2020-05-02,Midt,Helse Møre og Romsdal,3
2020-05-03,Midt,Helse Møre og Romsdal,3
2020-05-04,Midt,Helse Møre og Romsdal,4
2020-05-05,Midt,Helse Møre og Romsdal,4
2020-05-06,Midt,Helse Møre og Romsdal,4
2020-05-07,Midt,Helse Møre og Romsdal,3
2020-05-08,Midt,Helse Møre og Romsdal,3
2020-05-09,Midt,Helse Møre og Romsdal,3
2020-05-10,Midt,Helse Møre og Romsdal,3
2020-05-11,Midt,Helse Møre og Romsdal,3
2020-05-12,Midt,Helse Møre og Romsdal,5
2020-05-13,Midt,Helse Møre og Romsdal,4
2020-05-14,Midt,Helse Møre og Romsdal,3
2020-05-15,Midt,Helse Møre og Romsdal,1
2020-05-16,Midt,Helse Møre og Romsdal,1
2020-05-17,Midt,Helse Møre og Romsdal,1
2020-05-18,Midt,Helse Møre og Romsdal,1
2020-05-19,Midt,Helse Møre og Romsdal,1
2020-05-20,Midt,Helse Møre og Romsdal,1
2020-05-21,Midt,Helse Møre og Romsdal,1
2020-05-22,Midt,Helse Møre og Romsdal,1
2020-05-23,Midt,Helse Møre og Romsdal,1
2020-05-24,Midt,Helse Møre og Romsdal,1
2020-05-25,Midt,Helse Møre og Romsdal,1
2020-05-26,Midt,Helse Møre og Romsdal,1
2020-05-27,Midt,Helse Møre og Romsdal,1
2020-05-28,Midt,Helse Møre og Romsdal,1
2020-05-29,Midt,Helse Møre og Romsdal,1
2020-05-30,Midt,Helse Møre og Romsdal,1
2020-05-31,Midt,Helse Møre og Romsdal,1
2020-06-01,Midt,Helse Møre og Romsdal,2
2020-06-02,Midt,Helse Møre og Romsdal,2
2020-06-03,Midt,Helse Møre og Romsdal,1
2020-06-04,Midt,Helse Møre og Romsdal,1
2020-06-05,Midt,Helse Møre og Romsdal,1
2020-06-08,Midt,Helse Møre og Romsdal,1
2020-06-09,Midt,Helse Møre og Romsdal,1
2020-06-10,Midt,Helse Møre og Romsdal,1
2020-06-11,Midt,Helse Møre og Romsdal,1
2020-06-12,Midt,Helse Møre og Romsdal,1
2020-06-15,Midt,Helse Møre og Romsdal,1
2020-06-16,Midt,Helse Møre og Romsdal,1
2020-06-17,Midt,Helse Møre og Romsdal,1
2020-06-18,Midt,Helse Møre og Romsdal,1
2020-06-19,Midt,Helse Møre og Romsdal,1
2020-06-22,Midt,Helse Møre og Romsdal,1
2020-06-23,Midt,Helse Møre og Romsdal,1
2020-06-24,Midt,Helse Møre og Romsdal,1
2020-06-25,Midt,Helse Møre og Romsdal,1
2020-06-26,Midt,Helse Møre og Romsdal,1
2020-06-29,Midt,Helse Møre og Romsdal,3
2020-06-30,Midt,Helse Møre og Romsdal,3
2020-07-01,Midt,Helse Møre og Romsdal,3
2020-07-02,Midt,Helse Møre og Romsdal,3
2020-07-03,Midt,Helse Møre og Romsdal,3
2020-07-06,Midt,Helse Møre og Romsdal,2
2020-07-07,Midt,Helse Møre og Romsdal,2
2020-07-08,Midt,Helse Møre og Romsdal,1
2020-07-09,Midt,Helse Møre og Romsdal,1
2020-07-10,Midt,Helse Møre og Romsdal,0
2020-07-13,Midt,Helse Møre og Romsdal,0
2020-07-14,Midt,Helse Møre og Romsdal,0
2020-07-15,Midt,Helse Møre og Romsdal,0
2020-07-16,Midt,Helse Møre og Romsdal,0
2020-07-17,Midt,Helse Møre og Romsdal,0
2020-07-20,Midt,Helse Møre og Romsdal,0
2020-07-21,Midt,Helse Møre og Romsdal,0
2020-07-22,Midt,Helse Møre og Romsdal,0
2020-07-23,Midt,Helse Møre og Romsdal,0
2020-07-24,Midt,Helse Møre og Romsdal,0
2020-07-27,Midt,Helse Møre og Romsdal,0
2020-07-28,Midt,Helse Møre og Romsdal,0
2020-07-29,Midt,Helse Møre og Romsdal,0
2020-07-30,Midt,Helse Møre og Romsdal,0
2020-07-31,Midt,Helse Møre og Romsdal,0
2020-08-03,Midt,Helse Møre og Romsdal,1
2020-08-04,Midt,Helse Møre og Romsdal,1
2020-08-05,Midt,Helse Møre og Romsdal,0
2020-08-06,Midt,Helse Møre og Romsdal,0
2020-08-07,Midt,Helse Møre og Romsdal,0
2020-08-10,Midt,Helse Møre og Romsdal,0
2020-08-11,Midt,Helse Møre og Romsdal,0
2020-08-12,Midt,Helse Møre og Romsdal,0
2020-08-13,Midt,Helse Møre og Romsdal,0
2020-08-14,Midt,Helse Møre og Romsdal,0
2020-08-17,Midt,Helse Møre og Romsdal,1
2020-08-18,Midt,Helse Møre og Romsdal,0
2020-08-19,Midt,Helse Møre og Romsdal,0
2020-08-20,Midt,Helse Møre og Romsdal,0
2020-08-21,Midt,Helse Møre og Romsdal,0
2020-08-24,Midt,Helse Møre og Romsdal,0
2020-08-25,Midt,Helse Møre og Romsdal,0
2020-08-26,Midt,Helse Møre og Romsdal,0
2020-08-27,Midt,Helse Møre og Romsdal,0
2020-08-28,Midt,Helse Møre og Romsdal,0
2020-08-31,Midt,Helse Møre og Romsdal,0
2020-09-01,Midt,Helse Møre og Romsdal,0
2020-09-02,Midt,Helse Møre og Romsdal,0
2020-09-03,Midt,Helse Møre og Romsdal,0
2020-09-04,Midt,Helse Møre og Romsdal,0
2020-09-07,Midt,Helse Møre og Romsdal,0
2020-09-08,Midt,Helse Møre og Romsdal,0
2020-09-09,Midt,Helse Møre og Romsdal,0
2020-09-10,Midt,Helse Møre og Romsdal,0
2020-09-11,Midt,Helse Møre og Romsdal,0
2020-09-14,Midt,Helse Møre og Romsdal,0
2020-09-15,Midt,Helse Møre og Romsdal,0
2020-09-16,Midt,Helse Møre og Romsdal,0
2020-09-17,Midt,Helse Møre og Romsdal,0
2020-09-18,Midt,Helse Møre og Romsdal,0
2020-09-21,Midt,Helse Møre og Romsdal,0
2020-09-22,Midt,Helse Møre og Romsdal,0
2020-09-23,Midt,Helse Møre og Romsdal,0
2020-09-24,Midt,Helse Møre og Romsdal,0
2020-09-25,Midt,Helse Møre og Romsdal,0
2020-09-28,Midt,Helse Møre og Romsdal,0
2020-09-29,Midt,Helse Møre og Romsdal,1
2020-09-30,Midt,Helse Møre og Romsdal,1
2020-10-01,Midt,Helse Møre og Romsdal,1
2020-10-02,Midt,Helse Møre og Romsdal,1
2020-10-05,Midt,Helse Møre og Romsdal,1
2020-10-06,Midt,Helse Møre og Romsdal,2
2020-10-07,Midt,Helse Møre og Romsdal,2
2020-10-08,Midt,Helse Møre og Romsdal,2
2020-10-09,Midt,Helse Møre og Romsdal,2
2020-10-12,Midt,Helse Møre og Romsdal,3
2020-10-13,Midt,Helse Møre og Romsdal,2
2020-10-14,Midt,Helse Møre og Romsdal,2
2020-10-15,Midt,Helse Møre og Romsdal,2
2020-10-16,Midt,Helse Møre og Romsdal,2
2020-10-19,Midt,Helse Møre og Romsdal,2
2020-10-20,Midt,Helse Møre og Romsdal,2
2020-10-21,Midt,Helse Møre og Romsdal,3
2020-10-22,Midt,Helse Møre og Romsdal,2
2020-10-23,Midt,Helse Møre og Romsdal,2
2020-10-26,Midt,Helse Møre og Romsdal,2
2020-10-27,Midt,Helse Møre og Romsdal,0
2020-10-28,Midt,Helse Møre og Romsdal,0
2020-10-29,Midt,Helse Møre og Romsdal,0
2020-10-30,Midt,Helse Møre og Romsdal,0
2020-10-31,Midt,Helse Møre og Romsdal,0
2020-11-01,Midt,Helse Møre og Romsdal,0
2020-11-02,Midt,Helse Møre og Romsdal,0
2020-11-03,Midt,Helse Møre og Romsdal,0
2020-11-04,Midt,Helse Møre og Romsdal,0
2020-11-05,Midt,Helse Møre og Romsdal,0
2020-11-06,Midt,Helse Møre og Romsdal,0
2020-11-07,Midt,Helse Møre og Romsdal,0
2020-11-08,Midt,Helse Møre og Romsdal,0
2020-11-09,Midt,Helse Møre og Romsdal,0
2020-11-10,Midt,Helse Møre og Romsdal,0
2020-11-11,Midt,Helse Møre og Romsdal,0
2020-11-12,Midt,Helse Møre og Romsdal,1
2020-11-13,Midt,Helse Møre og Romsdal,2
2020-11-14,Midt,Helse Møre og Romsdal,1
2020-11-15,Midt,Helse Møre og Romsdal,2
2020-11-16,Midt,Helse Møre og Romsdal,3
2020-11-17,Midt,Helse Møre og Romsdal,3
2020-11-18,Midt,Helse Møre og Romsdal,4
2020-11-19,Midt,Helse Møre og Romsdal,4
2020-11-20,Midt,Helse Møre og Romsdal,2
2020-11-21,Midt,Helse Møre og Romsdal,2
2020-11-22,Midt,Helse Møre og Romsdal,2
2020-11-23,Midt,Helse Møre og Romsdal,1
2020-11-24,Midt,Helse Møre og Romsdal,1
2020-11-25,Midt,Helse Møre og Romsdal,1
2020-11-26,Midt,Helse Møre og Romsdal,2
2020-11-27,Midt,Helse Møre og Romsdal,2
2020-11-28,Midt,Helse Møre og Romsdal,2
2020-11-29,Midt,Helse Møre og Romsdal,1
2020-11-30,Midt,Helse Møre og Romsdal,3
2020-12-01,Midt,Helse Møre og Romsdal,2
2020-12-02,Midt,Helse Møre og Romsdal,2
2020-12-03,Midt,Helse Møre og Romsdal,1
2020-12-04,Midt,Helse Møre og Romsdal,1
2020-12-05,Midt,Helse Møre og Romsdal,1
2020-12-06,Midt,Helse Møre og Romsdal,1
2020-12-07,Midt,Helse Møre og Romsdal,1
2020-12-08,Midt,Helse Møre og Romsdal,2
2020-12-09,Midt,Helse Møre og Romsdal,3
2020-12-10,Midt,Helse Møre og Romsdal,3
2020-12-11,Midt,Helse Møre og Romsdal,3
2020-12-12,Midt,Helse Møre og Romsdal,3
2020-12-13,Midt,Helse Møre og Romsdal,2
2020-12-14,Midt,Helse Møre og Romsdal,2
2020-12-15,Midt,Helse Møre og Romsdal,2
2020-12-16,Midt,Helse Møre og Romsdal,2
2020-12-17,Midt,Helse Møre og Romsdal,2
2020-12-18,Midt,Helse Møre og Romsdal,1
2020-12-19,Midt,Helse Møre og Romsdal,1
2020-12-20,Midt,Helse Møre og Romsdal,1
2020-12-21,Midt,Helse Møre og Romsdal,1
2020-12-22,Midt,Helse Møre og Romsdal,1
2020-12-23,Midt,Helse Møre og Romsdal,1
2020-12-24,Midt,Helse Møre og Romsdal,1
2020-12-25,Midt,Helse Møre og Romsdal,3
2020-12-26,Midt,Helse Møre og Romsdal,3
2020-12-27,Midt,Helse Møre og Romsdal,5
2020-12-28,Midt,Helse Møre og Romsdal,4
2020-12-29,Midt,Helse Møre og Romsdal,7
2020-12-30,Midt,Helse Møre og Romsdal,8
2020-12-31,Midt,Helse Møre og Romsdal,9
2021-01-01,Midt,Helse Møre og Romsdal,8
2021-01-02,Midt,Helse Møre og Romsdal,9
2021-01-03,Midt,Helse Møre og Romsdal,6
2021-01-04,Midt,Helse Møre og Romsdal,7
2021-01-05,Midt,Helse Møre og Romsdal,6
2021-01-06,Midt,Helse Møre og Romsdal,5
2021-01-07,Midt,Helse Møre og Romsdal,5
2021-01-08,Midt,Helse Møre og Romsdal,6
2021-01-09,Midt,Helse Møre og Romsdal,5
2021-01-10,Midt,Helse Møre og Romsdal,4
2021-01-11,Midt,Helse Møre og Romsdal,5
2021-01-12,Midt,Helse Møre og Romsdal,4
2021-01-13,Midt,Helse Møre og Romsdal,3
2021-01-14,Midt,Helse Møre og Romsdal,3
2021-01-15,Midt,Helse Møre og Romsdal,3
2021-01-16,Midt,Helse Møre og Romsdal,2
2021-01-17,Midt,Helse Møre og Romsdal,2
2021-01-18,Midt,Helse Møre og Romsdal,1
2021-01-19,Midt,Helse Møre og Romsdal,0
2021-01-20,Midt,Helse Møre og Romsdal,2
2021-01-21,Midt,Helse Møre og Romsdal,1
2021-01-22,Midt,Helse Møre og Romsdal,1
2021-01-23,Midt,Helse Møre og Romsdal,1
2021-01-24,Midt,Helse Møre og Romsdal,1
2021-01-25,Midt,Helse Møre og Romsdal,1
2021-01-26,Midt,Helse Møre og Romsdal,0
2021-01-27,Midt,Helse Møre og Romsdal,0
2021-01-28,Midt,Helse Møre og Romsdal,0
2021-01-29,Midt,Helse Møre og Romsdal,0
2021-01-30,Midt,Helse Møre og Romsdal,0
2021-01-31,Midt,Helse Møre og Romsdal,0
2021-02-01,Midt,Helse Møre og Romsdal,0
2021-02-02,Midt,Helse Møre og Romsdal,0
2021-02-03,Midt,Helse Møre og Romsdal,0
2021-02-04,Midt,Helse Møre og Romsdal,0
2021-02-05,Midt,Helse Møre og Romsdal,1
2021-02-06,Midt,Helse Møre og Romsdal,1
2021-02-07,Midt,Helse Møre og Romsdal,1
2021-02-08,Midt,Helse Møre og Romsdal,1
2021-02-09,Midt,Helse Møre og Romsdal,0
2021-02-10,Midt,Helse Møre og Romsdal,0
2021-02-11,Midt,Helse Møre og Romsdal,1
2021-02-12,Midt,Helse Møre og Romsdal,1
2021-02-13,Midt,Helse Møre og Romsdal,1
2021-02-14,Midt,Helse Møre og Romsdal,1
2021-02-15,Midt,Helse Møre og Romsdal,1
2021-02-16,Midt,Helse Møre og Romsdal,0
2021-02-17,Midt,Helse Møre og Romsdal,0
2021-02-18,Midt,Helse Møre og Romsdal,0
2021-02-19,Midt,Helse Møre og Romsdal,0
2021-02-20,Midt,Helse Møre og Romsdal,0
2021-02-21,Midt,Helse Møre og Romsdal,0
2021-02-22,Midt,Helse Møre og Romsdal,1
2021-02-23,Midt,Helse Møre og Romsdal,1
2021-02-24,Midt,Helse Møre og Romsdal,1
2021-02-25,Midt,Helse Møre og Romsdal,1
2021-02-26,Midt,Helse Møre og Romsdal,0
2021-02-27,Midt,Helse Møre og Romsdal,0
2021-02-28,Midt,Helse Møre og Romsdal,0
2021-03-01,Midt,Helse Møre og Romsdal,0
2021-03-02,Midt,Helse Møre og Romsdal,0
2021-03-03,Midt,Helse Møre og Romsdal,0
2021-03-04,Midt,Helse Møre og Romsdal,0
2021-03-05,Midt,Helse Møre og Romsdal,0
2021-03-06,Midt,Helse Møre og Romsdal,0
2021-03-07,Midt,Helse Møre og Romsdal,0
2021-03-08,Midt,Helse Møre og Romsdal,0
2021-03-09,Midt,Helse Møre og Romsdal,0
2021-03-10,Midt,Helse Møre og Romsdal,0
2021-03-11,Midt,Helse Møre og Romsdal,0
2021-03-12,Midt,Helse Møre og Romsdal,0
2021-03-13,Midt,Helse Møre og Romsdal,0
2021-03-14,Midt,Helse Møre og Romsdal,0
2021-03-15,Midt,Helse Møre og Romsdal,0
2021-03-16,Midt,Helse Møre og Romsdal,1
2021-03-17,Midt,Helse Møre og Romsdal,2
2021-03-18,Midt,Helse Møre og Romsdal,4
2021-03-19,Midt,Helse Møre og Romsdal,4
2021-03-20,Midt,Helse Møre og Romsdal,6
2021-03-21,Midt,Helse Møre og Romsdal,6
2021-03-22,Midt,Helse Møre og Romsdal,6
2021-03-23,Midt,Helse Møre og Romsdal,7
2021-03-24,Midt,Helse Møre og Romsdal,5
2021-03-25,Midt,Helse Møre og Romsdal,4
2021-03-26,Midt,Helse Møre og Romsdal,5
2021-03-27,Midt,Helse Møre og Romsdal,6
2021-03-28,Midt,Helse Møre og Romsdal,6
2021-03-29,Midt,Helse Møre og Romsdal,6
2021-03-30,Midt,Helse Møre og Romsdal,8
2021-03-31,Midt,Helse Møre og Romsdal,10
2021-04-01,Midt,Helse Møre og Romsdal,10
2021-04-02,Midt,Helse Møre og Romsdal,10
2021-04-03,Midt,Helse Møre og Romsdal,8
2021-04-04,Midt,Helse Møre og Romsdal,7
2021-04-05,Midt,Helse Møre og Romsdal,7
2021-04-06,Midt,Helse Møre og Romsdal,7
2021-04-07,Midt,Helse Møre og Romsdal,7
2021-04-08,Midt,Helse Møre og Romsdal,5
2021-04-09,Midt,Helse Møre og Romsdal,8
2021-04-10,Midt,Helse Møre og Romsdal,8
2021-04-11,Midt,Helse Møre og Romsdal,8
2021-04-12,Midt,Helse Møre og Romsdal,9
2021-04-13,Midt,Helse Møre og Romsdal,8
2021-04-14,Midt,Helse Møre og Romsdal,9
2021-04-15,Midt,Helse Møre og Romsdal,9
2021-04-16,Midt,Helse Møre og Romsdal,9
2021-04-17,Midt,Helse Møre og Romsdal,9
2021-04-18,Midt,Helse Møre og Romsdal,9
2021-04-19,Midt,Helse Møre og Romsdal,9
2021-04-20,Midt,Helse Møre og Romsdal,10
2021-04-21,Midt,Helse Møre og Romsdal,11
2021-04-22,Midt,Helse Møre og Romsdal,12
2021-04-23,Midt,Helse Møre og Romsdal,8
2021-04-24,Midt,Helse Møre og Romsdal,9
2021-04-25,Midt,Helse Møre og Romsdal,9
2021-04-26,Midt,Helse Møre og Romsdal,10
2021-04-27,Midt,Helse Møre og Romsdal,10
2021-04-28,Midt,Helse Møre og Romsdal,11
2021-04-29,Midt,Helse Møre og Romsdal,8
2021-04-30,Midt,Helse Møre og Romsdal,8
2021-05-01,Midt,Helse Møre og Romsdal,8
2021-05-02,Midt,Helse Møre og Romsdal,6
2021-05-03,Midt,Helse Møre og Romsdal,4
2021-05-04,Midt,Helse Møre og Romsdal,4
2021-05-05,Midt,Helse Møre og Romsdal,4
2021-05-06,Midt,Helse Møre og Romsdal,4
2021-05-07,Midt,Helse Møre og Romsdal,4
2021-05-08,Midt,Helse Møre og Romsdal,4
2021-05-09,Midt,Helse Møre og Romsdal,4
2021-05-10,Midt,Helse Møre og Romsdal,5
2021-05-11,Midt,Helse Møre og Romsdal,5
2021-05-12,Midt,Helse Møre og Romsdal,4
2021-05-13,Midt,Helse Møre og Romsdal,5
2021-05-14,Midt,Helse Møre og Romsdal,5
2021-05-15,Midt,Helse Møre og Romsdal,3
2021-05-16,Midt,Helse Møre og Romsdal,4
2021-05-17,Midt,Helse Møre og Romsdal,4
2021-05-18,Midt,Helse Møre og Romsdal,4
2021-05-19,Midt,Helse Møre og Romsdal,5
2021-05-20,Midt,Helse Møre og Romsdal,3
2021-05-21,Midt,Helse Møre og Romsdal,2
2021-05-22,Midt,Helse Møre og Romsdal,3
2021-05-23,Midt,Helse Møre og Romsdal,3
2021-05-24,Midt,Helse Møre og Romsdal,3
2021-05-25,Midt,Helse Møre og Romsdal,3
2021-05-26,Midt,Helse Møre og Romsdal,4
2021-05-27,Midt,Helse Møre og Romsdal,3
2021-05-28,Midt,Helse Møre og Romsdal,2
2021-05-29,Midt,Helse Møre og Romsdal,2
2021-05-30,Midt,Helse Møre og Romsdal,2
2021-05-31,Midt,Helse Møre og Romsdal,2
2021-06-01,Midt,Helse Møre og Romsdal,3
2021-06-02,Midt,Helse Møre og Romsdal,3
2021-06-03,Midt,Helse Møre og Romsdal,2
2021-06-04,Midt,Helse Møre og Romsdal,2
2021-06-07,Midt,Helse Møre og Romsdal,2
2021-06-08,Midt,Helse Møre og Romsdal,3
2021-06-09,Midt,Helse Møre og Romsdal,2
2021-06-10,Midt,Helse Møre og Romsdal,2
2021-06-11,Midt,Helse Møre og Romsdal,2
2021-06-14,Midt,Helse Møre og Romsdal,1
2021-06-15,Midt,Helse Møre og Romsdal,2
2021-06-16,Midt,Helse Møre og Romsdal,2
2021-06-17,Midt,Helse Møre og Romsdal,3
2021-06-18,Midt,Helse Møre og Romsdal,3
2021-06-21,Midt,Helse Møre og Romsdal,2
2021-06-22,Midt,Helse Møre og Romsdal,1
2021-06-23,Midt,Helse Møre og Romsdal,1
2021-06-24,Midt,Helse Møre og Romsdal,1
2021-06-25,Midt,Helse Møre og Romsdal,1
2021-06-28,Midt,Helse Møre og Romsdal,1
2021-06-29,Midt,Helse Møre og Romsdal,1
2021-06-30,Midt,Helse Møre og Romsdal,1
2021-07-01,Midt,Helse Møre og Romsdal,1
2021-07-02,Midt,Helse Møre og Romsdal,1
2021-07-05,Midt,Helse Møre og Romsdal,2
2021-07-06,Midt,Helse Møre og Romsdal,1
2021-07-07,Midt,Helse Møre og Romsdal,1
2021-07-08,Midt,Helse Møre og Romsdal,1
2021-07-09,Midt,Helse Møre og Romsdal,1
2021-07-12,Midt,Helse Møre og Romsdal,1
2021-07-13,Midt,Helse Møre og Romsdal,1
2021-07-14,Midt,Helse Møre og Romsdal,1
2021-07-15,Midt,Helse Møre og Romsdal,1
2021-07-16,Midt,Helse Møre og Romsdal,1
2021-07-19,Midt,Helse Møre og Romsdal,1
2021-07-20,Midt,Helse Møre og Romsdal,1
2021-07-21,Midt,Helse Møre og Romsdal,1
2021-07-22,Midt,Helse Møre og Romsdal,1
2021-07-23,Midt,Helse Møre og Romsdal,0
2021-07-26,Midt,Helse Møre og Romsdal,4
2021-07-27,Midt,Helse Møre og Romsdal,4
2021-07-28,Midt,Helse Møre og Romsdal,5
2021-07-29,Midt,Helse Møre og Romsdal,6
2021-07-30,Midt,Helse Møre og Romsdal,4
2021-08-02,Midt,Helse Møre og Romsdal,5
2021-08-03,Midt,Helse Møre og Romsdal,5
2021-08-04,Midt,Helse Møre og Romsdal,5
2021-08-05,Midt,Helse Møre og Romsdal,4
2021-08-06,Midt,Helse Møre og Romsdal,3
2021-08-09,Midt,Helse Møre og Romsdal,2
2021-08-10,Midt,Helse Møre og Romsdal,3
2021-08-11,Midt,Helse Møre og Romsdal,2
2021-08-12,Midt,Helse Møre og Romsdal,2
2021-08-13,Midt,Helse Møre og Romsdal,1
2021-08-16,Midt,Helse Møre og Romsdal,2
2021-08-17,Midt,Helse Møre og Romsdal,1
2021-08-18,Midt,Helse Møre og Romsdal,2
2021-08-19,Midt,Helse Møre og Romsdal,2
2021-08-20,Midt,Helse Møre og Romsdal,2
2021-08-23,Midt,Helse Møre og Romsdal,3
2021-08-24,Midt,Helse Møre og Romsdal,3
2021-08-25,Midt,Helse Møre og Romsdal,3
2021-08-26,Midt,Helse Møre og Romsdal,4
2021-08-27,Midt,Helse Møre og Romsdal,3
2021-08-30,Midt,Helse Møre og Romsdal,2
2021-08-31,Midt,Helse Møre og Romsdal,4
2021-09-01,Midt,Helse Møre og Romsdal,5
2021-09-02,Midt,Helse Møre og Romsdal,5
2021-09-03,Midt,Helse Møre og Romsdal,5
2021-09-06,Midt,Helse Møre og Romsdal,5
2021-09-07,Midt,Helse Møre og Romsdal,5
2021-09-08,Midt,Helse Møre og Romsdal,5
2021-09-09,Midt,Helse Møre og Romsdal,2
2021-09-10,Midt,Helse Møre og Romsdal,4
2021-09-13,Midt,Helse Møre og Romsdal,4
2021-09-14,Midt,Helse Møre og Romsdal,6
2021-09-15,Midt,Helse Møre og Romsdal,6
2021-09-16,Midt,Helse Møre og Romsdal,4
2021-09-17,Midt,Helse Møre og Romsdal,3
2021-09-20,Midt,Helse Møre og Romsdal,7
2021-09-21,Midt,Helse Møre og Romsdal,6
2021-09-22,Midt,Helse Møre og Romsdal,6
2021-09-23,Midt,Helse Møre og Romsdal,6
2021-09-24,Midt,Helse Møre og Romsdal,5
2021-09-27,Midt,Helse Møre og Romsdal,6
2021-09-28,Midt,Helse Møre og Romsdal,6
2021-09-29,Midt,Helse Møre og Romsdal,4
2021-09-30,Midt,Helse Møre og Romsdal,4
2021-10-01,Midt,Helse Møre og Romsdal,5
2021-10-04,Midt,Helse Møre og Romsdal,6
2021-10-05,Midt,Helse Møre og Romsdal,6
2021-10-06,Midt,Helse Møre og Romsdal,6
2021-10-07,Midt,Helse Møre og Romsdal,8
2021-10-08,Midt,Helse Møre og Romsdal,8
2021-10-11,Midt,Helse Møre og Romsdal,8
2021-10-12,Midt,Helse Møre og Romsdal,9
2021-10-13,Midt,Helse Møre og Romsdal,8
2021-10-14,Midt,Helse Møre og Romsdal,6
2021-10-15,Midt,Helse Møre og Romsdal,6
2021-10-18,Midt,Helse Møre og Romsdal,7
2021-10-19,Midt,Helse Møre og Romsdal,5
2021-10-20,Midt,Helse Møre og Romsdal,5
2021-10-21,Midt,Helse Møre og Romsdal,3
2021-10-22,Midt,Helse Møre og Romsdal,3
2021-10-25,Midt,Helse Møre og Romsdal,3
2021-10-26,Midt,Helse Møre og Romsdal,3
2021-10-27,Midt,Helse Møre og Romsdal,2
2021-10-28,Midt,Helse Møre og Romsdal,3
2021-10-29,Midt,Helse Møre og Romsdal,4
2021-11-01,Midt,Helse Møre og Romsdal,6
2021-11-02,Midt,Helse Møre og Romsdal,6
2021-11-03,Midt,Helse Møre og Romsdal,4
2021-11-04,Midt,Helse Møre og Romsdal,8
2021-11-05,Midt,Helse Møre og Romsdal,8
2021-11-08,Midt,Helse Møre og Romsdal,7
2021-11-09,Midt,Helse Møre og Romsdal,7
2021-11-10,Midt,Helse Møre og Romsdal,5
2021-11-11,Midt,Helse Møre og Romsdal,5
2021-11-12,Midt,Helse Møre og Romsdal,5
2021-11-15,Midt,Helse Møre og Romsdal,6
2021-11-16,Midt,Helse Møre og Romsdal,6
2021-11-17,Midt,Helse Møre og Romsdal,7
2021-11-18,Midt,Helse Møre og Romsdal,7
2021-11-19,Midt,Helse Møre og Romsdal,6
2021-11-22,Midt,Helse Møre og Romsdal,4
2021-11-23,Midt,Helse Møre og Romsdal,3
2021-11-24,Midt,Helse Møre og Romsdal,3
2021-11-25,Midt,Helse Møre og Romsdal,3
2021-11-26,Midt,Helse Møre og Romsdal,2
